timestep,date,time,flow_cfs
1,10/1/1912,0:00,105
2,10/2/1912,0:00,80
3,10/3/1912,0:00,80
4,10/4/1912,0:00,105
5,10/5/1912,0:00,120
6,10/6/1912,0:00,190
7,10/7/1912,0:00,255
8,10/8/1912,0:00,518
9,10/9/1912,0:00,555
10,10/10/1912,0:00,355
11,10/11/1912,0:00,280
12,10/12/1912,0:00,120
13,10/13/1912,0:00,120
14,10/14/1912,0:00,120
15,10/15/1912,0:00,135
16,10/16/1912,0:00,120
17,10/17/1912,0:00,120
18,10/18/1912,0:00,135
19,10/19/1912,0:00,120
20,10/20/1912,0:00,170
21,10/21/1912,0:00,232
22,10/22/1912,0:00,135
23,10/23/1912,0:00,190
24,10/24/1912,0:00,190
25,10/25/1912,0:00,170
26,10/26/1912,0:00,330
27,10/27/1912,0:00,355
28,10/28/1912,0:00,305
29,10/29/1912,0:00,415
30,10/30/1912,0:00,518
31,10/31/1912,0:00,518
32,11/1/1912,0:00,555
33,11/2/1912,0:00,518
34,11/3/1912,0:00,518
35,11/4/1912,0:00,518
36,11/5/1912,0:00,355
37,11/6/1912,0:00,232
38,11/7/1912,0:00,210
39,11/8/1912,0:00,170
40,11/9/1912,0:00,170
41,11/10/1912,0:00,170
42,11/11/1912,0:00,232
43,11/12/1912,0:00,190
44,11/13/1912,0:00,210
45,11/14/1912,0:00,330
46,11/15/1912,0:00,232
47,11/16/1912,0:00,210
48,11/17/1912,0:00,135
49,11/18/1912,0:00,305
50,11/19/1912,0:00,255
51,11/20/1912,0:00,255
52,11/21/1912,0:00,305
53,11/22/1912,0:00,280
54,11/23/1912,0:00,210
55,11/24/1912,0:00,448
56,11/25/1912,0:00,210
57,11/26/1912,0:00,255
58,11/27/1912,0:00,280
59,11/28/1912,0:00,330
60,11/29/1912,0:00,480
61,11/30/1912,0:00,448
62,12/1/1912,0:00,96
63,12/2/1912,0:00,96
64,12/3/1912,0:00,96
65,12/4/1912,0:00,96
66,12/5/1912,0:00,96
67,12/6/1912,0:00,96
68,12/7/1912,0:00,96
69,12/8/1912,0:00,96
70,12/9/1912,0:00,96
71,12/10/1912,0:00,96
72,12/11/1912,0:00,96
73,12/12/1912,0:00,96
74,12/13/1912,0:00,96
75,12/14/1912,0:00,96
76,12/15/1912,0:00,96
77,12/16/1912,0:00,96
78,12/17/1912,0:00,96
79,12/18/1912,0:00,96
80,12/19/1912,0:00,96
81,12/20/1912,0:00,96
82,12/21/1912,0:00,96
83,12/22/1912,0:00,96
84,12/23/1912,0:00,96
85,12/24/1912,0:00,96
86,12/25/1912,0:00,96
87,12/26/1912,0:00,96
88,12/27/1912,0:00,96
89,12/28/1912,0:00,96
90,12/29/1912,0:00,96
91,12/30/1912,0:00,96
92,12/31/1912,0:00,96
93,1/1/1913,0:00,34
94,1/2/1913,0:00,30
95,1/3/1913,0:00,35
96,1/4/1913,0:00,33
97,1/5/1913,0:00,28
98,1/6/1913,0:00,22
99,1/7/1913,0:00,30
100,1/8/1913,0:00,31
101,1/9/1913,0:00,32
102,1/10/1913,0:00,33
103,1/11/1913,0:00,38
104,1/12/1913,0:00,51
105,1/13/1913,0:00,68
106,1/14/1913,0:00,51
107,1/15/1913,0:00,50
108,1/16/1913,0:00,70
109,1/17/1913,0:00,91
110,1/18/1913,0:00,77
111,1/19/1913,0:00,55
112,1/20/1913,0:00,28
113,1/21/1913,0:00,46
114,1/22/1913,0:00,46
115,1/23/1913,0:00,75
116,1/24/1913,0:00,24
117,1/25/1913,0:00,44
118,1/26/1913,0:00,139
119,1/27/1913,0:00,37
120,1/28/1913,0:00,51
121,1/29/1913,0:00,58
122,1/30/1913,0:00,120
123,1/31/1913,0:00,202
124,2/1/1913,0:00,117
125,2/2/1913,0:00,61
126,2/3/1913,0:00,60
127,2/4/1913,0:00,59
128,2/5/1913,0:00,50
129,2/6/1913,0:00,50
130,2/7/1913,0:00,50
131,2/8/1913,0:00,50
132,2/9/1913,0:00,50
133,2/10/1913,0:00,50
134,2/11/1913,0:00,50
135,2/12/1913,0:00,84
136,2/13/1913,0:00,59
137,2/14/1913,0:00,45
138,2/15/1913,0:00,37
139,2/16/1913,0:00,32
140,2/17/1913,0:00,31
141,2/18/1913,0:00,27
142,2/19/1913,0:00,25
143,2/20/1913,0:00,25
144,2/21/1913,0:00,26
145,2/22/1913,0:00,16
146,2/23/1913,0:00,58
147,2/24/1913,0:00,58
148,2/25/1913,0:00,58
149,2/26/1913,0:00,79
150,2/27/1913,0:00,82
151,2/28/1913,0:00,63
152,3/1/1913,0:00,57
153,3/2/1913,0:00,45
154,3/3/1913,0:00,63
155,3/4/1913,0:00,60
156,3/5/1913,0:00,35
157,3/6/1913,0:00,30
158,3/7/1913,0:00,35
159,3/8/1913,0:00,35
160,3/9/1913,0:00,30
161,3/10/1913,0:00,22
162,3/11/1913,0:00,18
163,3/12/1913,0:00,11
164,3/13/1913,0:00,10
165,3/14/1913,0:00,12
166,3/15/1913,0:00,110
167,3/16/1913,0:00,184
168,3/17/1913,0:00,221
169,3/18/1913,0:00,88
170,3/19/1913,0:00,33
171,3/20/1913,0:00,28
172,3/21/1913,0:00,30
173,3/22/1913,0:00,38
174,3/23/1913,0:00,30
175,3/24/1913,0:00,18
176,3/25/1913,0:00,21
177,3/26/1913,0:00,95
178,3/27/1913,0:00,33
179,3/28/1913,0:00,46
180,3/29/1913,0:00,41
181,3/30/1913,0:00,37
182,3/31/1913,0:00,63
183,4/1/1913,0:00,79
184,4/2/1913,0:00,52
185,4/3/1913,0:00,65
186,4/4/1913,0:00,167
187,4/5/1913,0:00,154
188,4/6/1913,0:00,111
189,4/7/1913,0:00,111
190,4/8/1913,0:00,79
191,4/9/1913,0:00,133
192,4/10/1913,0:00,120
193,4/11/1913,0:00,202
194,4/12/1913,0:00,120
195,4/13/1913,0:00,130
196,4/14/1913,0:00,125
197,4/15/1913,0:00,130
198,4/16/1913,0:00,130
199,4/17/1913,0:00,217
200,4/18/1913,0:00,306
201,4/19/1913,0:00,341
202,4/20/1913,0:00,320
203,4/21/1913,0:00,320
204,4/22/1913,0:00,311
205,4/23/1913,0:00,302
206,4/24/1913,0:00,240
207,4/25/1913,0:00,209
208,4/26/1913,0:00,198
209,4/27/1913,0:00,40
210,4/28/1913,0:00,40
211,4/29/1913,0:00,30
212,4/30/1913,0:00,24
213,5/1/1913,0:00,21
214,5/2/1913,0:00,38
215,5/3/1913,0:00,50
216,5/4/1913,0:00,42
217,5/5/1913,0:00,46
218,5/6/1913,0:00,63
219,5/7/1913,0:00,42
220,5/8/1913,0:00,41
221,5/9/1913,0:00,47
222,5/10/1913,0:00,59
223,5/11/1913,0:00,44
224,5/12/1913,0:00,38
225,5/13/1913,0:00,50
226,5/14/1913,0:00,128
227,5/15/1913,0:00,279
228,5/16/1913,0:00,367
229,5/17/1913,0:00,288
230,5/18/1913,0:00,145
231,5/19/1913,0:00,246
232,5/20/1913,0:00,246
233,5/21/1913,0:00,297
234,5/22/1913,0:00,279
235,5/23/1913,0:00,224
236,5/24/1913,0:00,139
237,5/25/1913,0:00,70
238,5/26/1913,0:00,93
239,5/27/1913,0:00,384
240,5/28/1913,0:00,600
241,5/29/1913,0:00,504
242,5/30/1913,0:00,454
243,5/31/1913,0:00,504
244,6/1/1913,0:00,430
245,6/2/1913,0:00,525
246,6/3/1913,0:00,430
247,6/4/1913,0:00,341
