wy,stage_ft,plot_posit
1943,3802,0.8701456
1944,3819.42,0.493932
1945,3806.37,0.7730583
1946,3804.45,0.809466
1947,3825.23,0.3968447
1948,3837.5,0.2754854
1949,3836.6,0.2997573
1950,3827.26,0.3847087
1951,3813.24,0.6031553
1952,3804.77,0.7973301
1953,3794.59,0.967233
1954,3801.76,0.8822816
1955,3839.7,0.2512136
1957,3846.14,0.2026699
1957,3811.26,0.7002427
1958,3852.26,0.1177184
1960,3843.56,0.2269417
1960,3810.91,0.7123786
1961,3799.03,0.9186893
1962,3804.3,0.8337379
1963,3799.05,0.9065534
1964,3794.3,0.9793689
1965,3857.96,0.032767
1967,3853.78,0.0934466
1968,3836.03,0.3118932
1968,3808.44,0.7487864
1969,3802.93,0.8458738
1970,3812.68,0.6274272
1971,3805.91,0.7851942
1972,3802.59,0.8580097
1973,3811.75,0.6759709
1974,3804.41,0.8216019
1975,3794.21,0.9915049
1976,3795.04,0.9550971
1977,3800.41,0.8944175
1978,3795.55,0.9429612
1979,3798.28,0.9308252
1980,3834.59,0.336165
1981,3816.91,0.5667476
1982,3812.06,0.651699
1983,3840.13,0.2390777
1984,3839.28,0.2633495
1985,3854.2,0.0570388
1986,3852.09,0.1298544
1987,3858.59,0.0206311
1988,3850.3,0.1783981
1989,3828.39,0.3725728
1990,3818.59,0.506068
1991,3817.67,0.5424757
1992,3817.79,0.5303398
1993,3823.65,0.4211165
1994,3832.35,0.348301
1995,3855.58,0.0449029
1996,3851.48,0.1662621
1997,3851.83,0.1419903
1998,3853.82,0.0813107
1999,3862.22,0.0084951
2000,3854.09,0.0691748
2001,3835.91,0.3240291
2002,3822.95,0.4453883
2003,3811.45,0.6881068
2004,3809.74,0.7366505
2005,3820.88,0.4817961
2006,3810.45,0.7245146
2007,3822.41,0.4575243
2008,3817.21,0.5546117
2009,3821.34,0.4696602
2010,3823.13,0.4332524
2011,3816.69,0.5788835
2012,3813.05,0.6152913
2013,3807.12,0.7609223
2014,3812.65,0.6395631
2015,3852.27,0.1055825
2016,3844.05,0.2148058
2017,3846.76,0.190534
2018,3851.56,0.1541262
2019,3836.63,0.2876214
2020,3828.49,0.3604369
2021,3818.35,0.5182039
2022,3811.82,0.663835
2023,3825.07,0.4089806
2024,3816.4,0.5910194
