wy,stage_ft,plot_posit
1948,3837.5,0.308710801
1949,3836.6,0.351916376
1955,3839.7,0.265505226
1957,3846.14,0.197444832
1958,3852.26,0.116144019
1959,3843.56,0.220673635
1965,3857.96,0.034843206
1966,3853.78,0.092915215
1967,3836.03,0.373519164
1980,3834.59,0.416724739
1981,3816.91,0.762369338
1982,3812.06,0.870383275
1983,3840.13,0.232288037
1984,3839.28,0.287108014
1985,3854.2,0.058072009
1986,3852.09,0.12775842
1987,3858.59,0.023228804
1988,3850.3,0.174216028
1989,3828.39,0.481533101
1990,3818.59,0.654355401
1991,3817.67,0.719163763
1992,3817.79,0.697560976
1993,3823.65,0.524738676
1994,3832.35,0.438327526
1995,3855.58,0.046457607
1996,3851.48,0.162601626
1997,3851.83,0.139372822
1998,3853.82,0.081300813
1999,3862.22,0.011614402
2000,3854.09,0.069686411
2001,3835.91,0.395121951
2002,3822.95,0.567944251
2003,3811.45,0.91358885
2004,3809.74,0.956794425
2005,3820.88,0.632752613
2006,3810.45,0.935191638
2007,3822.41,0.589547038
2008,3817.21,0.740766551
2009,3821.34,0.611149826
2010,3823.13,0.546341463
2011,3816.69,0.783972125
2012,3813.05,0.8271777
2013,3807.12,0.978397213
2014,3812.65,0.848780488
2015,3852.27,0.104529617
2016,3844.05,0.209059233
2017,3846.76,0.18583043
2018,3851.56,0.150987224
2019,3836.63,0.330313589
2020,3828.49,0.459930314
2021,3818.35,0.675958188
2022,3811.82,0.891986063
2023,3825.07,0.503135889
2024,3816.4,0.805574913
