time_hr,inflow_cfs,elevation_ft,storage_acft,outflow_cfs
0,13223,3810,35989,0
1,13201.1,3810.3,37080.9,0
2,13167.5,3810.7,38170.5,0
3,13100.1,3811,39256,0
4,13038,3811.3,40336,0
5,12971.2,3811.6,41410.8,0
6,12894.4,3812,42479.6,0
7,12806.1,3812.3,43541.6,0
8,12713.9,3812.6,44596.2,0
9,12626.2,3812.9,45643.3,0
10,12542.9,3813.2,46683.3,0
11,12461.7,3813.4,47716.6,0
12,12383.1,3813.7,48743.2,0
13,12306.4,3814,49763.5,0
14,12230.8,3814.3,50777.4,0
15,12156.1,3814.6,51785.1,0
16,12081.8,3814.8,52786.7,0
17,12006.8,3815.1,53782.1,0
18,11929.4,3815.4,54771.2,0
19,11847.7,3815.6,55753.7,0
20,11760.6,3815.9,56729.3,0
21,11668.9,3816.1,57697.4,0
22,11573.9,3816.4,58657.9,0
23,11476.6,3816.6,59610.4,0
24,11376.2,3816.8,60554.7,0
25,11273.3,3817.1,61490.6,0
26,11171.1,3817.3,62418.1,0
27,11070.2,3817.5,63337.1,0
28,10969.1,3817.7,64247.9,0
29,10867.5,3818,65150.2,0
30,10772.5,3818.2,66044.4,0
31,10705.6,3818.4,66931.9,0
32,10734.2,3818.6,67817.9,0
33,11136.4,3818.8,68721.6,0
34,12439.6,3819,69695.8,0
35,15200.1,3819.3,70838,0
36,19845.9,3819.6,72286.2,0
37,26846.3,3820.1,74215.6,0
38,37138.2,3820.6,76859.6,0
39,52078.2,3821.4,80546.2,0
40,71869.5,3822.5,85668,0
41,95359.7,3823.8,92578.3,0
42,122344.1,3825.5,101574.3,0
43,152728,3827.5,112941,0
44,181797.2,3829.7,126764.3,0
45,225483.3,3832.3,143573.4,500
46,341454.5,3835.5,166959.3,500
47,576015.3,3840.3,204829.9,500
48,801898.4,3846.5,261727.2,500
49,983973.6,3853.4,335482.2,500
50,1187788.8,3860.6,425183.2,500
51,1432426,3868,533309.4,3059.1
52,1620608.9,3873.8,631418,675748.1
53,1765666.8,3878.2,712586.9,746241
54,1823995.1,3882.3,795525.7,836301.2
55,1828538.5,3885.1,867107.5,1083953.9
56,1803357.2,3887.1,920060.3,1266482.8
57,1754236.1,3888.3,954564.1,1456118.5
58,1682172.5,3888.9,972209.1,1553280.9
59,1595507.2,3889.1,977964.5,1585117.9
60,1499594.1,3889,975438.5,1571113.7
61,1400342.7,3888.8,967284,1526160.8
62,1296061,3888.3,955302.9,1460186.5
63,1195854.3,3887.8,940877.4,1380824.4
64,1102281.5,3887.3,925267.1,1295081.9
65,1015596.1,3886.7,908679.6,1224213.9
66,935491.8,3886,890593.4,1164559.1
67,861879.3,3885.2,871349.6,1098513.1
68,795272.1,3884.5,851830.9,1030989.2
69,734328.6,3883.7,832633.1,963198.9
70,677301.5,3883,814116,896545.9
71,624062.8,3882.3,796196.3,838474.4
72,575599.7,3881.5,777941.1,802963.8
73,533094.3,3880.5,758115.8,785502.5
74,497482.4,3879.4,736544.9,767091.3
75,463222.8,3878.3,713669.8,747189.3
76,432055.3,3877,689775.4,726334
77,403745.6,3875.7,665098.1,706657.1
78,377598.9,3874.3,639835.6,686041.4
79,352464.5,3872.9,616230.9,615256.1
80,327955.9,3872.4,607235.6,282849.6
81,306903.9,3872.5,608366.5,324641.6
