Ordinate,Date,Time,Flow
1,6/4/1921,0:00,500.00
2,6/4/1921,1:00,542.00
3,6/4/1921,2:00,583.00
4,6/4/1921,3:00,625.00
5,6/4/1921,4:00,667.00
6,6/4/1921,5:00,708.00
7,6/4/1921,6:00,750.00
8,6/4/1921,7:00,792.00
9,6/4/1921,8:00,833.00
10,6/4/1921,9:00,875.00
11,6/4/1921,10:00,917.00
12,6/4/1921,11:00,958.00
13,6/4/1921,12:00,1000.00
14,6/4/1921,13:00,1083.00
15,6/4/1921,14:00,1167.00
16,6/4/1921,15:00,1250.00
17,6/4/1921,16:00,1333.00
18,6/4/1921,17:00,1417.00
19,6/4/1921,18:00,1500.00
20,6/4/1921,19:00,1583.00
21,6/4/1921,20:00,1667.00
22,6/4/1921,21:00,1750.00
23,6/4/1921,22:00,1833.00
24,6/4/1921,23:00,1917.00
25,6/5/1921,0:00,2000.00
26,6/5/1921,1:00,40563.00
27,6/5/1921,2:00,79125.00
28,6/5/1921,3:00,117688.00
29,6/5/1921,4:00,156250.00
30,6/5/1921,5:00,184452.00
31,6/5/1921,6:00,171212.00
32,6/5/1921,7:00,157973.00
33,6/5/1921,8:00,144733.00
34,6/5/1921,9:00,131494.00
35,6/5/1921,10:00,118254.00
36,6/5/1921,11:00,105015.00
37,6/5/1921,12:00,91775.00
38,6/5/1921,13:00,78535.00
39,6/5/1921,14:00,65296.00
40,6/5/1921,15:00,57500.00
41,6/5/1921,16:00,53333.00
42,6/5/1921,17:00,49500.00
43,6/5/1921,18:00,47000.00
44,6/5/1921,19:00,44500.00
45,6/5/1921,20:00,42667.00
46,6/5/1921,21:00,41000.00
47,6/5/1921,22:00,39333.00
48,6/5/1921,23:00,37667.00
49,6/6/1921,0:00,36000.00
50,6/6/1921,1:00,35167.00
51,6/6/1921,2:00,34333.00
52,6/6/1921,3:00,33667.00
53,6/6/1921,4:00,33111.00
54,6/6/1921,5:00,32556.00
55,6/6/1921,6:00,32000.00
56,6/6/1921,7:00,31667.00
57,6/6/1921,8:00,31333.00
58,6/6/1921,9:00,31000.00
59,6/6/1921,10:00,30667.00
60,6/6/1921,11:00,30333.00
61,6/6/1921,12:00,30000.00
62,6/6/1921,13:00,29833.00
63,6/6/1921,14:00,29667.00
64,6/6/1921,15:00,29500.00
65,6/6/1921,16:00,29333.00
66,6/6/1921,17:00,29167.00
67,6/6/1921,18:00,29000.00
68,6/6/1921,19:00,28833.00
69,6/6/1921,20:00,28667.00
70,6/6/1921,21:00,28500.00
71,6/6/1921,22:00,28333.00
72,6/6/1921,23:00,28167.00
73,6/7/1921,0:00,28000.00
74,6/7/1921,1:00,27806.00
75,6/7/1921,2:00,27611.00
76,6/7/1921,3:00,27417.00
77,6/7/1921,4:00,27222.00
78,6/7/1921,5:00,27028.00
79,6/7/1921,6:00,26833.00
80,6/7/1921,7:00,26639.00
81,6/7/1921,8:00,26444.00
82,6/7/1921,9:00,26250.00
83,6/7/1921,10:00,26056.00
84,6/7/1921,11:00,25861.00
85,6/7/1921,12:00,25667.00
86,6/7/1921,13:00,25472.00
87,6/7/1921,14:00,25278.00
88,6/7/1921,15:00,25083.00
89,6/7/1921,16:00,24889.00
90,6/7/1921,17:00,24694.00
91,6/7/1921,18:00,24500.00
92,6/7/1921,19:00,24306.00
93,6/7/1921,20:00,24111.00
94,6/7/1921,21:00,23917.00
95,6/7/1921,22:00,23722.00
96,6/7/1921,23:00,23528.00
97,6/8/1921,0:00,23333.00
98,6/8/1921,1:00,23139.00
99,6/8/1921,2:00,22944.00
100,6/8/1921,3:00,22750.00
101,6/8/1921,4:00,22556.00
102,6/8/1921,5:00,22361.00
103,6/8/1921,6:00,22167.00
104,6/8/1921,7:00,21972.00
105,6/8/1921,8:00,21778.00
106,6/8/1921,9:00,21583.00
107,6/8/1921,10:00,21389.00
108,6/8/1921,11:00,21194.00
109,6/8/1921,12:00,21000.00
110,6/8/1921,13:00,20806.00
