Ordinate,Date,Time,Flow
1,6/17/1965,7:00,0
2,6/17/1965,7:15,24
3,6/17/1965,7:30,49
4,6/17/1965,7:45,73
5,6/17/1965,8:00,692
6,6/17/1965,8:15,1339
7,6/17/1965,8:30,1350
8,6/17/1965,8:45,1350
9,6/17/1965,9:00,1350
10,6/17/1965,9:15,1350
11,6/17/1965,9:30,1350
12,6/17/1965,9:45,1349
13,6/17/1965,10:00,1342
14,6/17/1965,10:15,1328
15,6/17/1965,10:30,1315
16,6/17/1965,10:45,1301
17,6/17/1965,11:00,1287
18,6/17/1965,11:15,1273
19,6/17/1965,11:30,1240
20,6/17/1965,11:45,1206
21,6/17/1965,12:00,1173
22,6/17/1965,12:15,1139
23,6/17/1965,12:30,1170
24,6/17/1965,12:45,1267
25,6/17/1965,13:00,1362
26,6/17/1965,13:15,1452
27,6/17/1965,13:30,1543
28,6/17/1965,13:45,1633
29,6/17/1965,14:00,1724
30,6/17/1965,14:15,1814
31,6/17/1965,14:30,1905
32,6/17/1965,14:45,1990
33,6/17/1965,15:00,2072
34,6/17/1965,15:15,2154
35,6/17/1965,15:30,2236
36,6/17/1965,15:45,2318
37,6/17/1965,16:00,2400
38,6/17/1965,16:15,2482
39,6/17/1965,16:30,2564
40,6/17/1965,16:45,2646
41,6/17/1965,17:00,2753
42,6/17/1965,17:15,2898
43,6/17/1965,17:30,3043
44,6/17/1965,17:45,3188
45,6/17/1965,18:00,3333
46,6/17/1965,18:15,3370
47,6/17/1965,18:30,3370
48,6/17/1965,18:45,3370
49,6/17/1965,19:00,3370
50,6/17/1965,19:15,3369
51,6/17/1965,19:30,3369
52,6/17/1965,19:45,3369
53,6/17/1965,20:00,3501
54,6/17/1965,20:15,4115
55,6/17/1965,20:30,4730
56,6/17/1965,20:45,4819
57,6/17/1965,21:00,4438
58,6/17/1965,21:15,4022
59,6/17/1965,21:30,3578
60,6/17/1965,21:45,3134
61,6/17/1965,22:00,3032
62,6/17/1965,22:15,3257
63,6/17/1965,22:30,3492
64,6/17/1965,22:45,3771
65,6/17/1965,23:00,4051
66,6/17/1965,23:15,4302
67,6/17/1965,23:30,4526
68,6/17/1965,23:45,4749
69,6/18/1965,0:00,4995
70,6/18/1965,0:15,5243
71,6/18/1965,0:30,5242
72,6/18/1965,0:45,4898
73,6/18/1965,1:00,4444
74,6/18/1965,1:15,3990
75,6/18/1965,1:30,3536
76,6/18/1965,1:45,4172
77,6/18/1965,2:00,5869
78,6/18/1965,2:15,7420
79,6/18/1965,2:30,9190
80,6/18/1965,2:45,10518
81,6/18/1965,3:00,11432
82,6/18/1965,3:15,12304
83,6/18/1965,3:30,13142
84,6/18/1965,3:45,13916
85,6/18/1965,4:00,12973
86,6/18/1965,4:15,11841
87,6/18/1965,4:30,10547
88,6/18/1965,4:45,10141
89,6/18/1965,5:00,10293
90,6/18/1965,5:15,10445
91,6/18/1965,5:30,10598
92,6/18/1965,5:45,10662
93,6/18/1965,6:00,10686
94,6/18/1965,6:15,10711
95,6/18/1965,6:30,10708
96,6/18/1965,6:45,10691
97,6/18/1965,7:00,10675
98,6/18/1965,7:15,10658
99,6/18/1965,7:30,10832
100,6/18/1965,7:45,11984
101,6/18/1965,8:00,13161
102,6/18/1965,8:15,14394
103,6/18/1965,8:30,15777
104,6/18/1965,8:45,15456
105,6/18/1965,9:00,14232
106,6/18/1965,9:15,12900
107,6/18/1965,9:30,11856
108,6/18/1965,9:45,14083
109,6/18/1965,10:00,17754
110,6/18/1965,10:15,22110
111,6/18/1965,10:30,26488
112,6/18/1965,10:45,26833
113,6/18/1965,11:00,24994
114,6/18/1965,11:15,22879
115,6/18/1965,11:30,21227
116,6/18/1965,11:45,19746
117,6/18/1965,12:00,19799
118,6/18/1965,12:15,19875
119,6/18/1965,12:30,19875
120,6/18/1965,12:45,25969
121,6/18/1965,13:00,48468
122,6/18/1965,13:15,72643
123,6/18/1965,13:30,101341
124,6/18/1965,13:45,92627
125,6/18/1965,14:00,76581
126,6/18/1965,14:15,62677
127,6/18/1965,14:30,44053
128,6/18/1965,14:45,48012
129,6/18/1965,15:00,73236
130,6/18/1965,15:15,119110
131,6/18/1965,15:30,140767
132,6/18/1965,15:45,143082
133,6/18/1965,16:00,135353
134,6/18/1965,16:15,129219
135,6/18/1965,16:30,119373
136,6/18/1965,16:45,117553
137,6/18/1965,17:00,115720
138,6/18/1965,17:15,114057
139,6/18/1965,17:30,111867
