time_hr,inflow_cfs
0,1717
1,1716
2,1715
3,1714
4,1713
5,1712
6,1710
7,1709
8,1708
9,1706
10,1705
11,1703
12,1702
13,1700
14,1698
15,1696
16,1695
17,1693
18,1691
19,1690
20,1688
21,1686
22,1685
23,1683
24,1682
25,1681
26,1680
27,1680
28,1680
29,1680
30,1681
31,1682
32,1684
33,1687
34,1690
35,1695
36,1702
37,1711
38,1724
39,1746
40,1776
41,1808
42,1838
43,1865
44,1888
45,1907
46,1924
47,1936
48,1951
49,1968
50,1988
51,2014
52,2052
53,2109
54,2185
55,2277
56,2387
57,2515
58,2662
59,2829
60,3017
61,3241
62,3520
63,3854
64,4290
65,4906
66,5731
67,6745
68,7990
69,9546
70,11470
71,13735
72,16217
73,18770
74,21288
75,23682
76,25870
77,27776
78,29344
79,30559
80,31516
81,32694
82,34287
83,34756
84,34988
85,35891
86,36879
87,37938
88,39571
89,42028
90,45211
91,48244
92,50414
93,52051
94,53524
95,54599
96,54998
97,54796
98,54212
99,53375
100,52360
101,51235
102,50022
103,48699
104,47264
105,45753
106,44205
107,42640
108,41076
109,39653
110,39358
111,41474
112,42664
113,41931
114,41896
115,42009
116,41707
117,41434
118,41104
119,40687
120,40231
121,39731
122,39213
123,38674
124,38101
125,37492
126,36845
127,36159
128,35436
129,34679
130,33893
131,33081
132,32250
133,31402
134,30541
135,29673
136,28798
137,27922
138,27048
139,26179
140,25319
141,24470
142,23635
143,22815
144,22017
145,21239
146,20486
147,19760
148,19063
149,18390
150,17739
151,17107
152,16490
153,15878
154,15269
155,14657
156,14047
157,13446
158,12841
159,12262
160,11693
161,11143
162,10607
163,10093
164,9604
165,9135
166,8688
167,8265
168,7865
169,7486
170,7129
171,6790
172,6471
173,6169
174,5881
175,5608
176,5345
177,5097
178,4858
179,4626
180,4400
181,4176
182,3950
183,3722
184,3511
185,3294
186,3065
187,2811
188,2530
189,2208
190,1829
191,1542
192,1311
193,1124
194,973
195,851
196,751
197,670
198,602
199,546
200,500
201,460
202,426
203,396
204,370
205,347
206,326
207,308
208,291
209,275
210,261
211,247
212,235
213,223
214,212
215,202
216,192
217,183
218,174
219,166
220,158
221,151
222,144
223,138
224,131
225,125
226,120
227,114
228,109
229,104
230,100
231,95
232,91
233,87
234,83
235,80
236,76
237,73
238,70
239,67
240,64
