Ordinate,Date,Time,Flow
1,5/19/1955,0:00,0
2,5/19/1955,1:00,203
3,5/19/1955,2:00,1221
4,5/19/1955,3:00,2263
5,5/19/1955,4:00,3250
6,5/19/1955,5:00,4168
7,5/19/1955,6:00,4873
8,5/19/1955,7:00,5410
9,5/19/1955,8:00,5650
10,5/19/1955,9:00,5819
11,5/19/1955,10:00,5819
12,5/19/1955,11:00,9306
13,5/19/1955,12:00,13622
14,5/19/1955,13:00,18420
15,5/19/1955,14:00,22112
16,5/19/1955,15:00,24236
17,5/19/1955,16:00,26361
18,5/19/1955,17:00,27635
19,5/19/1955,18:00,28707
20,5/19/1955,19:00,29756
21,5/19/1955,20:00,30709
22,5/19/1955,21:00,31662
23,5/19/1955,22:00,33049
24,5/19/1955,23:00,34568
25,5/20/1955,0:00,36725
26,5/20/1955,1:00,39151
27,5/20/1955,2:00,45472
28,5/20/1955,3:00,53935
29,5/20/1955,4:00,63354
30,5/20/1955,5:00,73348
31,5/20/1955,6:00,82549
32,5/20/1955,7:00,87585
33,5/20/1955,8:00,89456
34,5/20/1955,9:00,87993
35,5/20/1955,10:00,87797
36,5/20/1955,11:00,87640
37,5/20/1955,12:00,81866
38,5/20/1955,13:00,84583
39,5/20/1955,14:00,84842
40,5/20/1955,15:00,83235
41,5/20/1955,16:00,82361
42,5/20/1955,17:00,75236
43,5/20/1955,18:00,70577
44,5/20/1955,19:00,64254
45,5/20/1955,20:00,62039
46,5/20/1955,21:00,62835
47,5/20/1955,22:00,62247
48,5/20/1955,23:00,61277
49,5/21/1955,0:00,58772
50,5/21/1955,1:00,56148
51,5/21/1955,2:00,52882
52,5/21/1955,3:00,49615
53,5/21/1955,4:00,46868
54,5/21/1955,5:00,44375
55,5/21/1955,6:00,41643
56,5/21/1955,7:00,38085
57,5/21/1955,8:00,34754
58,5/21/1955,9:00,32429
59,5/21/1955,10:00,30103
60,5/21/1955,11:00,27778
61,5/21/1955,12:00,25969
62,5/21/1955,13:00,24164
63,5/21/1955,14:00,22359
64,5/21/1955,15:00,20555
65,5/21/1955,16:00,18839
66,5/21/1955,17:00,17163
67,5/21/1955,18:00,15486
68,5/21/1955,19:00,13809
69,5/21/1955,20:00,12732
70,5/21/1955,21:00,11843
71,5/21/1955,22:00,10954
72,5/21/1955,23:00,10570
73,5/22/1955,0:00,10199
74,5/22/1955,1:00,9827
75,5/22/1955,2:00,9530
76,5/22/1955,3:00,9335
77,5/22/1955,4:00,9140
78,5/22/1955,5:00,8942
79,5/22/1955,6:00,8660
80,5/22/1955,7:00,8379
81,5/22/1955,8:00,8097
82,5/22/1955,9:00,7816
83,5/22/1955,10:00,7444
84,5/22/1955,11:00,7066
85,5/22/1955,12:00,6696
86,5/22/1955,13:00,6344
87,5/22/1955,14:00,5991
88,5/22/1955,15:00,5776
89,5/22/1955,16:00,5692
90,5/22/1955,17:00,5608
91,5/22/1955,18:00,5525
92,5/22/1955,19:00,5489
93,5/22/1955,20:00,5489
94,5/22/1955,21:00,5489
95,5/22/1955,22:00,5489
96,5/22/1955,23:00,5489
97,5/23/1955,0:00,5489
98,5/23/1955,1:00,5489
99,5/23/1955,2:00,5489
100,5/23/1955,3:00,5489
101,5/23/1955,4:00,5489
102,5/23/1955,5:00,5489
103,5/23/1955,6:00,5489
104,5/23/1955,7:00,5291
105,5/23/1955,8:00,5090
106,5/23/1955,9:00,4889
107,5/23/1955,10:00,4688
108,5/23/1955,11:00,4629
109,5/23/1955,12:00,4588
110,5/23/1955,13:00,4548
111,5/23/1955,14:00,4508
112,5/23/1955,15:00,4385
113,5/23/1955,16:00,4238
114,5/23/1955,17:00,4091
115,5/23/1955,18:00,3944
116,5/23/1955,19:00,3795
117,5/23/1955,20:00,3642
118,5/23/1955,21:00,3489
119,5/23/1955,22:00,3337
120,5/23/1955,23:00,3184
121,5/24/1955,0:00,3067
