Ordinate,Date,Time,Flow
1,2/2/2099,0:00,1131
2,2/2/2099,1:00,1890
3,2/2/2099,2:00,2277
4,2/2/2099,3:00,1936
5,2/2/2099,4:00,1934
6,2/2/2099,5:00,1933
7,2/2/2099,6:00,2666
8,2/2/2099,7:00,1931
9,2/2/2099,8:00,2665
10,2/2/2099,9:00,2665
11,2/2/2099,10:00,3399
12,2/2/2099,11:00,2665
13,2/2/2099,12:00,2664
14,2/2/2099,13:00,2664
15,2/2/2099,14:00,2664
16,2/2/2099,15:00,2665
17,2/2/2099,16:00,1930
18,2/2/2099,17:00,2664
19,2/2/2099,18:00,1928
20,2/2/2099,19:00,2663
21,2/2/2099,20:00,1928
22,2/2/2099,21:00,2662
23,2/2/2099,22:00,2662
24,2/2/2099,23:00,2999
25,2/3/2099,0:00,2602
26,2/3/2099,1:00,2938
27,2/3/2099,2:00,4407
28,2/3/2099,3:00,5142
29,2/3/2099,4:00,5878
30,2/3/2099,5:00,6613
31,2/3/2099,6:00,9554
32,2/3/2099,7:00,13964
33,2/3/2099,8:00,23833
34,2/3/2099,9:00,30757
35,2/3/2099,10:00,37689
36,2/3/2099,11:00,59773
37,2/3/2099,12:00,110996
38,2/3/2099,13:00,183409
39,2/3/2099,14:00,260565
40,2/3/2099,15:00,336282
41,2/3/2099,16:00,420920
42,2/3/2099,17:00,530778
43,2/3/2099,18:00,718288
44,2/3/2099,19:00,1159862
45,2/3/2099,20:00,1741688
46,2/3/2099,21:00,2290586
47,2/3/2099,22:00,2486049
48,2/3/2099,23:00,2418897
49,2/4/2099,0:00,2212016
50,2/4/2099,1:00,2009691
51,2/4/2099,2:00,1822805
52,2/4/2099,3:00,1654317
53,2/4/2099,4:00,1499424
54,2/4/2099,5:00,1357762
55,2/4/2099,6:00,1225112
56,2/4/2099,7:00,1107542
57,2/4/2099,8:00,998823
58,2/4/2099,9:00,902221
59,2/4/2099,10:00,817166
60,2/4/2099,11:00,742896
61,2/4/2099,12:00,681455
62,2/4/2099,13:00,625223
63,2/4/2099,14:00,585841
64,2/4/2099,15:00,541812
65,2/4/2099,16:00,503353
66,2/4/2099,17:00,459525
67,2/4/2099,18:00,426961
68,2/4/2099,19:00,396834
69,2/4/2099,20:00,369505
70,2/4/2099,21:00,346129
71,2/4/2099,22:00,305740
72,2/4/2099,23:00,288302
73,2/5/2099,0:00,281516
74,2/5/2099,1:00,294924
75,2/5/2099,2:00,289046
76,2/5/2099,3:00,275690
77,2/5/2099,4:00,264026
78,2/5/2099,5:00,254145
79,2/5/2099,6:00,243792
80,2/5/2099,7:00,234977
81,2/5/2099,8:00,226758
82,2/5/2099,9:00,220459
83,2/5/2099,10:00,214711
84,2/5/2099,11:00,209965
85,2/5/2099,12:00,205276
86,2/5/2099,13:00,200963
87,2/5/2099,14:00,196925
88,2/5/2099,15:00,192842
89,2/5/2099,16:00,188652
90,2/5/2099,17:00,185249
91,2/5/2099,18:00,181267
92,2/5/2099,19:00,177139
93,2/5/2099,20:00,172697
94,2/5/2099,21:00,168726
95,2/5/2099,22:00,164889
96,2/5/2099,23:00,160800
97,2/6/2099,0:00,157080
98,2/6/2099,1:00,153894
99,2/6/2099,2:00,150721
100,2/6/2099,3:00,148191
101,2/6/2099,4:00,145280
102,2/6/2099,5:00,142210
103,2/6/2099,6:00,139345
104,2/6/2099,7:00,136504
105,2/6/2099,8:00,133900
106,2/6/2099,9:00,130508
