Ordinate,Date,Time,Flow
1,1/1/1900,0:00,20000
2,1/1/1900,1:00,20000
3,1/1/1900,2:00,20000
4,1/1/1900,3:00,20000
5,1/1/1900,4:00,20000
6,1/1/1900,5:00,20000
7,1/1/1900,6:00,20000
8,1/1/1900,7:00,20000
9,1/1/1900,8:00,20000
10,1/1/1900,9:00,20000
11,1/1/1900,10:00,20000
12,1/1/1900,11:00,20000
13,1/1/1900,12:00,20000
14,1/1/1900,13:00,20000
15,1/1/1900,14:00,21000
16,1/1/1900,15:00,21000
17,1/1/1900,16:00,22000
18,1/1/1900,17:00,22000
19,1/1/1900,18:00,23000
20,1/1/1900,19:00,23000
21,1/1/1900,20:00,23000
22,1/1/1900,21:00,24000
23,1/1/1900,22:00,24000
24,1/1/1900,23:00,25000
25,1/2/1900,0:00,25000
26,1/2/1900,1:00,74000
27,1/2/1900,2:00,133000
28,1/2/1900,3:00,283000
29,1/2/1900,4:00,422000
30,1/2/1900,5:00,533000
31,1/2/1900,6:00,609000
32,1/2/1900,7:00,685000
33,1/2/1900,8:00,710000
34,1/2/1900,9:00,718000
35,1/2/1900,10:00,722000
36,1/2/1900,11:00,725000
37,1/2/1900,12:00,721000
38,1/2/1900,13:00,716000
39,1/2/1900,14:00,709000
40,1/2/1900,15:00,703000
41,1/2/1900,16:00,692000
42,1/2/1900,17:00,678000
43,1/2/1900,18:00,665000
44,1/2/1900,19:00,642000
45,1/2/1900,20:00,620000
46,1/2/1900,21:00,597000
47,1/2/1900,22:00,575000
48,1/2/1900,23:00,552000
49,1/3/1900,0:00,530000
50,1/3/1900,1:00,509000
51,1/3/1900,2:00,488000
52,1/3/1900,3:00,468000
53,1/3/1900,4:00,447000
54,1/3/1900,5:00,426000
55,1/3/1900,6:00,405000
56,1/3/1900,7:00,384000
57,1/3/1900,8:00,363000
58,1/3/1900,9:00,343000
59,1/3/1900,10:00,322000
60,1/3/1900,11:00,301000
61,1/3/1900,12:00,280000
62,1/3/1900,13:00,267000
63,1/3/1900,14:00,253000
64,1/3/1900,15:00,240000
65,1/3/1900,16:00,227000
66,1/3/1900,17:00,213000
67,1/3/1900,18:00,200000
68,1/3/1900,19:00,192000
69,1/3/1900,20:00,183000
70,1/3/1900,21:00,175000
71,1/3/1900,22:00,167000
72,1/3/1900,23:00,158000
73,1/4/1900,0:00,150000
74,1/4/1900,1:00,145000
75,1/4/1900,2:00,140000
76,1/4/1900,3:00,135000
77,1/4/1900,4:00,130000
78,1/4/1900,5:00,125000
79,1/4/1900,6:00,120000
80,1/4/1900,7:00,116000
81,1/4/1900,8:00,112000
82,1/4/1900,9:00,109000
83,1/4/1900,10:00,105000
84,1/4/1900,11:00,101000
85,1/4/1900,12:00,97000
86,1/4/1900,13:00,94000
87,1/4/1900,14:00,92000
88,1/4/1900,15:00,89000
89,1/4/1900,16:00,86000
90,1/4/1900,17:00,84000
91,1/4/1900,18:00,81000
92,1/4/1900,19:00,78000
93,1/4/1900,20:00,76000
94,1/4/1900,21:00,73000
95,1/4/1900,22:00,70000
96,1/4/1900,23:00,68000
97,1/5/1900,0:00,65000
98,1/5/1900,1:00,63000
99,1/5/1900,2:00,62000
100,1/5/1900,3:00,60000
101,1/5/1900,4:00,58000
102,1/5/1900,5:00,57000
103,1/5/1900,6:00,55000
104,1/5/1900,7:00,53000
105,1/5/1900,8:00,52000
106,1/5/1900,9:00,50000
107,1/5/1900,10:00,48000
108,1/5/1900,11:00,47000
109,1/5/1900,12:00,45000
110,1/5/1900,13:00,44000
111,1/5/1900,14:00,43000
112,1/5/1900,15:00,43000
113,1/5/1900,16:00,42000
114,1/5/1900,17:00,41000
115,1/5/1900,18:00,40000
116,1/5/1900,19:00,39000
117,1/5/1900,20:00,38000
118,1/5/1900,21:00,38000
119,1/5/1900,22:00,37000
120,1/5/1900,23:00,36000
121,1/6/1900,0:00,35000
122,1/6/1900,1:00,35000
123,1/6/1900,2:00,34000
124,1/6/1900,3:00,34000
125,1/6/1900,4:00,33000
126,1/6/1900,5:00,33000
127,1/6/1900,6:00,33000
128,1/6/1900,7:00,32000
129,1/6/1900,8:00,32000
130,1/6/1900,9:00,31000
131,1/6/1900,10:00,31000
132,1/6/1900,11:00,30000
133,1/6/1900,12:00,30000
134,1/6/1900,13:00,30000
135,1/6/1900,14:00,29000
136,1/6/1900,15:00,29000
137,1/6/1900,16:00,28000
138,1/6/1900,17:00,28000
139,1/6/1900,18:00,27000
140,1/6/1900,19:00,27000
141,1/6/1900,20:00,27000
142,1/6/1900,21:00,26000
143,1/6/1900,22:00,26000
144,1/6/1900,23:00,25000
145,1/7/1900,0:00,25000
146,1/7/1900,1:00,25000
147,1/7/1900,2:00,24000
148,1/7/1900,3:00,24000
149,1/7/1900,4:00,23000
150,1/7/1900,5:00,23000
151,1/7/1900,6:00,22000
152,1/7/1900,7:00,22000
153,1/7/1900,8:00,22000
154,1/7/1900,9:00,21000
155,1/7/1900,10:00,21000
156,1/7/1900,11:00,20000
157,1/7/1900,12:00,20000
158,1/7/1900,13:00,20000
159,1/7/1900,14:00,20000
160,1/7/1900,15:00,20000
161,1/7/1900,16:00,20000
162,1/7/1900,17:00,20000
163,1/7/1900,18:00,20000
164,1/7/1900,19:00,20000
165,1/7/1900,20:00,20000
166,1/7/1900,21:00,20000
167,1/7/1900,22:00,20000
168,1/7/1900,23:00,20000
169,1/8/1900,0:00,20000
170,1/8/1900,1:00,20000
171,1/8/1900,2:00,20000
172,1/8/1900,3:00,20000
173,1/8/1900,4:00,20000
174,1/8/1900,5:00,20000
175,1/8/1900,6:00,20000
176,1/8/1900,7:00,20000
177,1/8/1900,8:00,20000
178,1/8/1900,9:00,20000
179,1/8/1900,10:00,20000
180,1/8/1900,11:00,20000
181,1/8/1900,12:00,20000
