stage_ft,stor_acft,discharge_cfs
3784.8,0.00,0.00
3785.8,10.00,0.00
3786.8,48.00,0.00
3787.8,182.00,0.00
3788.8,446.00,0.00
3789.8,790.00,0.00
3790.8,1246.00,0.00
3791.8,1835.00,0.00
3792.8,2554.00,0.00
3793.8,3475.00,0.00
3794.8,4535.00,0.00
3795.8,5646.00,0.00
3796.8,6861.00,0.00
3797.8,8351.00,0.00
3798.8,10091.00,0.00
3799.8,11894.00,0.00
3800.8,13729.00,0.00
3801.8,15614.00,0.00
3802.8,17570.00,0.00
3803.8,19743.00,0.00
3804.8,22141.00,0.00
3805.8,24610.00,0.00
3806.8,27182.00,0.00
3807.8,29935.00,0.00
3808.8,32882.00,0.00
3809.8,35989.00,0.00
3810.8,39251.00,0.00
3811.8,42646.00,0.00
3812.8,46128.00,0.00
3813.8,49686.00,0.00
3814.8,53363.00,0.00
3815.8,57201.00,0.00
3816.8,61189.00,0.00
3817.8,65307.00,0.00
3818.8,69563.00,0.00
3819.8,73978.00,0.00
3820.8,78577.00,0.00
3821.8,83360.00,0.00
3822.8,88295.00,0.00
3823.8,93388.00,0.00
3824.8,98669.00,0.00
3825.8,104175.00,0.00
3826.8,109948.00,0.00
3827.8,115939.00,0.00
3828.8,122091.00,0.00
3829.8,128423.00,0.00
3830.8,134992.00,0.00
3831.8,141820.00,500.00
3832.8,148832.00,500.00
3833.8,155959.00,500.00
3834.8,163194.00,500.00
3835.8,170668.00,500.00
3836.8,178393.00,500.00
3837.8,186277.00,500.00
3838.8,194345.00,500.00
3839.8,202624.00,500.00
3840.8,211135.00,500.00
3841.8,219869.00,500.00
3842.8,228843.00,500.00
3843.8,238025.00,500.00
3844.8,247329.00,500.00
3845.8,256724.00,500.00
3846.8,266330.00,500.00
3847.8,276310.00,500.00
3848.8,286644.00,500.00
3849.8,297287.00,500.00
3850.8,308204.00,500.00
3851.8,319340.00,500.00
3852.8,330703.00,500.00
3853.8,342287.00,500.00
3854.8,354090.00,500.00
3855.8,366143.00,500.00
3856.8,378408.00,500.00
3857.8,391046.00,500.00
3858.8,404106.00,500.00
3859.8,417431.00,500.00
3860.8,431019.00,500.00
3861.8,444884.00,500.00
3862.8,459009.00,3000.00
3863.8,473351.00,3000.00
3864.8,487966.00,3006.00
3865.8,502916.00,3011.00
3866.8,518226.00,3036.00
3867.8,533891.00,3060.00
3868.8,549886.00,3105.00
3869.8,566211.00,3150.00
3870.8,582866.00,3196.00
3871.8,599852.00,10000.00
3872.8,617169.00,649924.00
3873.8,634818.00,681910.00
3874.8,652801.00,696717.00
3875.8,671119.00,711524.00
3876.8,689772.00,726331.00
3877.8,708761.00,742891.00
3878.8,728088.00,759814.00
3879.8,747754.00,776737.00
3880.8,767759.00,793660.00
3881.8,788104.00,812250.00
3882.8,815479.00,900963.00
3883.8,839950.00,989745.00
3884.8,865405.00,1078111.00
3885.8,891163.00,1166514.00
3886.8,917886.00,1254540.00
3887.8,946057.00,1409274.00
3888.8,974094.00,1563660.00
3889.8,1001997.00,1718352.00
3890.8,1030949.00,1873391.00
3891.8,1060600.00,2029826.00
3892.8,1091539.00,2213771.00
3893.8,1122479.00,2420912.00
3894.8,1154669.00,2640474.00
3895.8,1186859.00,2871899.00
3896.8,1220373.00,3114276.00
3897.8,1253887.00,3369377.00
3898.8,1289251.00,3635267.00
3899.8,1322860.00,3912377.00
