AEP,Expected
9.80E-01,3803.75
9.70E-01,3804.97
9.60E-01,3805.79
9.50E-01,3806.48
9.40E-01,3807.10
9.30E-01,3807.69
9.20E-01,3808.15
9.10E-01,3808.61
9.00E-01,3809.04
8.00E-01,3813.17
7.00E-01,3817.31
6.00E-01,3821.36
5.00E-01,3825.87
4.00E-01,3832.75
3.00E-01,3839.72
2.00E-01,3845.57
1.00E-01,3852.34
9.00E-02,3853.02
8.00E-02,3853.64
7.00E-02,3854.24
6.00E-02,3854.88
5.00E-02,3855.59
4.00E-02,3856.48
3.00E-02,3857.90
2.00E-02,3859.97
9.99E-03,3862.37
8.99E-03,3862.72
7.99E-03,3863.17
6.99E-03,3863.66
5.99E-03,3864.54
4.99E-03,3866.11
4.00E-03,3868.16
3.00E-03,3870.85
2.00E-03,3871.89
9.99E-04,3872.44
8.99E-04,3872.49
7.99E-04,3872.55
6.99E-04,3872.60
6.00E-04,3872.66
5.00E-04,3872.71
4.00E-04,3872.77
3.00E-04,3872.82
2.00E-04,3872.88
1.00E-04,3874.90
9.00E-05,3875.85
8.00E-05,3877.21
7.00E-05,3879.17
6.00E-05,3880.61
5.00E-05,3882.58
4.00E-05,3883.99
3.00E-05,3886.02
2.00E-05,3888.89
1.00E-05,3893.52
9.01E-06,3894.19
8.01E-06,3894.93
7.01E-06,3895.80
6.01E-06,3896.69
5.01E-06,3897.66
4.01E-06,3899.00
3.00E-06,3899.80
2.00E-06,3899.80
1.00E-06,3899.80
9.02E-07,3899.80
8.02E-07,3899.80
7.02E-07,3899.80
6.01E-07,3899.80
5.01E-07,3899.80
4.01E-07,3899.80
3.01E-07,3899.80
2.01E-07,3899.80
1.00E-07,3899.80
9.03E-08,3899.80
8.03E-08,3899.80
7.02E-08,3899.80
6.02E-08,3899.80
5.02E-08,3899.80
4.02E-08,3899.80
3.01E-08,3899.80
2.01E-08,3899.80
1.00E-08,3899.80
9.04E-09,3899.80
8.04E-09,3899.80
7.03E-09,3899.80
6.03E-09,3899.80
5.02E-09,3899.80
4.02E-09,3899.80
3.02E-09,3899.80
2.01E-09,3899.80
1.01E-09,3899.80
