inflow_vol,month,starting_stage
3703,June,3836.57
3565,June,3818.18
3896,May,3816.53
3427,June,3802.13
3380,September,3816.38
3477,August,3797.69
3338,July,3831.01
3423,August,3800.14
3113,September,3803.18
3297,June,3845.65
3189,June,3851.11
3181,June,3814.93
3250,June,3835.08
3234,August,3847.34
3096,June,3834.08
2855,August,3836.37
2938,August,3808.31
3151,July,3815.25
3076,May,3816.45
2741,May,3817.02
3034,May,3821.64
2816,August,3802.75
2871,June,3805.38
2850,June,3846.83
2755,June,3799.50
2609,September,3802.35
2588,June,3845.28
2653,September,3800.57
2622,August,3842.58
2487,August,3821.68
2526,June,3833.00
2517,August,3818.79
2664,July,3805.37
2528,May,3807.88
2314,June,3806.43
2479,June,3807.53
2320,July,3794.75
2308,May,3807.37
2357,June,3803.78
2266,May,3830.45
2285,May,3811.15
2305,August,3798.16
2198,June,3846.50
2106,August,3827.16
2242,May,3811.71
2157,May,3806.37
1964,August,3797.42
1974,June,3814.05
2040,June,3816.66
1974,August,3831.81
1938,May,3821.07
1913,April,3848.98
2019,May,3815.97
1847,June,3856.21
1864,September,3842.48
1882,June,3804.45
1762,June,3819.34
1823,May,3816.01
1818,July,3809.42
1777,June,3808.45
1675,June,3837.06
1638,June,3818.33
1733,July,3803.74
1619,July,3840.39
1666,August,3825.96
1662,April,3808.23
1605,June,3807.07
1507,June,3807.19
1523,May,3854.06
1496,July,3851.26
1483,May,3813.83
1515,May,3825.47
1525,September,3845.78
1375,May,3795.89
1477,July,3805.72
1433,June,3818.36
1373,June,3812.21
1366,July,3810.44
1414,May,3861.58
1329,August,3811.14
1359,June,3854.39
1273,August,3833.95
1344,May,3841.49
1249,August,3810.76
1263,June,3806.93
1305,May,3840.16
1269,June,3807.03
1190,June,3807.24
1218,August,3809.24
1248,June,3803.75
1142,August,3802.99
1108,May,3807.50
1146,June,3826.02
1134,May,3812.14
1066,June,3804.00
1062,August,3801.47
1118,August,3829.19
1084,August,3834.33
1105,July,3802.93
998,April,3849.60
993,September,3812.48
