AEP,Upper,Lower,Expected,Median
9.80E-01,3804.28,3802.80,3803.47,3803.47
9.70E-01,3805.42,3804.04,3804.67,3804.68
9.60E-01,3806.31,3804.94,3805.59,3805.60
9.50E-01,3807.02,3805.72,3806.36,3806.37
9.40E-01,3807.62,3806.41,3807.02,3807.01
9.30E-01,3808.18,3807.02,3807.58,3807.57
9.20E-01,3808.67,3807.54,3808.11,3808.11
9.10E-01,3809.15,3808.04,3808.58,3808.58
9.00E-01,3809.59,3808.49,3809.04,3809.03
8.00E-01,3813.78,3812.40,3813.09,3813.10
7.00E-01,3817.96,3816.40,3817.19,3817.18
6.00E-01,3822.28,3820.54,3821.42,3821.43
5.00E-01,3827.69,3825.21,3826.37,3826.37
4.00E-01,3834.34,3831.73,3833.00,3833.01
3.00E-01,3840.94,3838.69,3839.84,3839.84
2.00E-01,3846.58,3844.74,3845.66,3845.67
1.00E-01,3852.69,3851.25,3852.00,3851.99
9.00E-02,3853.25,3851.92,3852.63,3852.62
8.00E-02,3853.79,3852.58,3853.24,3853.23
7.00E-02,3854.30,3853.23,3853.80,3853.79
6.00E-02,3854.88,3853.83,3854.33,3854.32
5.00E-02,3855.51,3854.40,3854.96,3854.94
4.00E-02,3856.49,3855.10,3855.69,3855.66
3.00E-02,3857.85,3856.00,3856.84,3856.81
2.00E-02,3859.58,3857.46,3858.49,3858.45
9.99E-03,3863.76,3859.73,3861.51,3861.39
8.99E-03,3864.70,3860.15,3862.06,3861.95
7.99E-03,3865.91,3860.60,3862.59,3862.47
6.99E-03,3867.45,3861.16,3863.25,3863.02
5.99E-03,3869.35,3861.82,3864.24,3863.94
4.99E-03,3871.12,3862.51,3865.76,3865.36
4.00E-03,3871.65,3863.37,3867.90,3867.35
3.00E-03,3871.98,3864.93,3870.73,3870.27
2.00E-03,3872.31,3867.97,3871.73,3871.65
9.99E-04,3872.96,3871.60,3872.23,3872.15
8.99E-04,3873.04,3871.69,3872.28,3872.20
7.99E-04,3873.12,3871.78,3872.33,3872.25
6.99E-04,3873.21,3871.87,3872.38,3872.30
6.00E-04,3873.29,3871.97,3872.43,3872.35
5.00E-04,3873.37,3872.06,3872.65,3872.40
4.00E-04,3873.45,3872.15,3872.88,3872.56
3.00E-04,3874.40,3872.25,3873.11,3872.86
2.00E-04,3879.08,3872.34,3873.33,3873.17
1.00E-04,3886.12,3872.49,3875.04,3873.48
9.00E-05,3887.05,3872.62,3876.05,3873.92
8.00E-05,3887.74,3872.75,3877.33,3874.39
7.00E-05,3888.49,3872.88,3878.94,3875.41
6.00E-05,3889.58,3873.01,3880.94,3876.88
5.00E-05,3891.01,3873.14,3882.77,3878.80
4.00E-05,3892.61,3873.27,3884.46,3881.40
3.00E-05,3894.67,3873.40,3886.57,3883.61
2.00E-05,3897.51,3874.02,3889.06,3886.28
1.00E-05,3899.80,3878.54,3893.48,3890.06
9.01E-06,3899.80,3879.49,3894.19,3890.65
8.01E-06,3899.80,3880.56,3894.96,3891.35
7.01E-06,3899.80,3881.89,3895.83,3892.15
6.01E-06,3899.80,3882.70,3896.85,3893.01
5.01E-06,3899.80,3883.67,3898.12,3894.02
4.01E-06,3899.80,3884.87,3899.71,3895.29
3.00E-06,3899.80,3886.32,3899.80,3896.88
2.00E-06,3899.80,3888.13,3899.80,3899.38
1.00E-06,3899.80,3891.12,3899.80,3899.80
9.02E-07,3899.80,3891.56,3899.80,3899.80
8.02E-07,3899.80,3892.11,3899.80,3899.80
7.02E-07,3899.80,3892.72,3899.80,3899.80
6.01E-07,3899.80,3893.43,3899.80,3899.80
5.01E-07,3899.80,3894.30,3899.80,3899.80
4.01E-07,3899.80,3895.25,3899.80,3899.80
3.01E-07,3899.80,3896.58,3899.80,3899.80
2.01E-07,3899.80,3898.26,3899.80,3899.80
