AEP,Median
9.80E-01,3803.64
9.70E-01,3804.84
9.60E-01,3805.66
9.50E-01,3806.33
9.40E-01,3807
9.30E-01,3807.57
9.20E-01,3808.03
9.10E-01,3808.49
9.00E-01,3808.94
8.00E-01,3813.35
7.00E-01,3817.71
6.00E-01,3821.64
5.00E-01,3826.3
4.00E-01,3833.2
3.00E-01,3840.03
2.00E-01,3845.73
1.00E-01,3852.01
9.00E-02,3852.69
8.00E-02,3853.35
7.00E-02,3853.98
6.00E-02,3854.58
5.00E-02,3855.19
4.00E-02,3855.99
3.00E-02,3857.04
2.00E-02,3858.98
9.99E-03,3861.61
8.99E-03,3862.15
7.99E-03,3862.7
6.99E-03,3863.26
5.99E-03,3864.23
4.99E-03,3865.71
4.00E-03,3867.67
3.00E-03,3870.3
2.00E-03,3871.68
9.99E-04,3872.31
8.99E-04,3872.37
7.99E-04,3872.43
6.99E-04,3872.49
6.00E-04,3872.55
5.00E-04,3872.61
4.00E-04,3872.67
3.00E-04,3872.73
2.00E-04,3872.79
1.00E-04,3873.77
9.00E-05,3874.16
8.00E-05,3874.87
7.00E-05,3876.03
6.00E-05,3877.72
5.00E-05,3879.96
4.00E-05,3882.26
3.00E-05,3884.16
2.00E-05,3886.67
1.00E-05,3890.37
9.01E-06,3891.02
8.01E-06,3891.78
7.01E-06,3892.64
6.01E-06,3893.42
5.01E-06,3894.41
4.01E-06,3895.64
3.00E-06,3897.55
2.00E-06,3899.8
1.00E-06,3899.8
9.02E-07,3899.8
8.02E-07,3899.8
7.02E-07,3899.8
6.01E-07,3899.8
5.01E-07,3899.8
4.01E-07,3899.8
3.01E-07,3899.8
2.01E-07,3899.8
1.00E-07,3899.8
9.03E-08,3899.8
8.03E-08,3899.8
7.02E-08,3899.8
6.02E-08,3899.8
5.02E-08,3899.8
4.02E-08,3899.8
3.01E-08,3899.8
2.01E-08,3899.8
1.00E-08,3899.8
9.04E-09,3899.8
8.04E-09,3899.8
7.03E-09,3899.8
6.03E-09,3899.8
5.02E-09,3899.8
4.02E-09,3899.8
3.02E-09,3899.8
2.01E-09,3899.8
1.01E-09,3899.8
