timestep,date,time,stage_ft
1,1/2/1943,0:00,3780.60
2,1/3/1943,0:00,3780.25
3,1/4/1943,0:00,3779.90
4,1/5/1943,0:00,3780.30
5,1/6/1943,0:00,3778.20
6,1/7/1943,0:00,3776.20
7,1/8/1943,0:00,3776.90
8,1/9/1943,0:00,3777.60
9,1/10/1943,0:00,3777.70
10,1/11/1943,0:00,3777.80
11,1/12/1943,0:00,3777.90
12,1/13/1943,0:00,3777.75
13,1/14/1943,0:00,3777.75
14,1/15/1943,0:00,3777.65
15,1/16/1943,0:00,3779.23
16,1/17/1943,0:00,3780.50
17,1/18/1943,0:00,3781.20
18,1/19/1943,0:00,3781.50
19,1/20/1943,0:00,3781.60
20,1/21/1943,0:00,3781.70
21,1/22/1943,0:00,3782.20
22,1/23/1943,0:00,3782.80
23,1/24/1943,0:00,3785.20
24,1/25/1943,0:00,3786.90
25,1/26/1943,0:00,3788.20
26,1/27/1943,0:00,3789.40
27,1/28/1943,0:00,3790.20
28,1/29/1943,0:00,3791.20
29,1/30/1943,0:00,3791.70
30,1/31/1943,0:00,3792.20
31,2/1/1943,0:00,3792.70
32,2/2/1943,0:00,3793.10
33,2/3/1943,0:00,3793.60
34,2/4/1943,0:00,3793.80
35,2/5/1943,0:00,3794.40
36,2/6/1943,0:00,3794.50
37,2/7/1943,0:00,3794.60
38,2/8/1943,0:00,3794.70
39,2/9/1943,0:00,3794.80
40,2/10/1943,0:00,3795.10
41,2/11/1943,0:00,3795.30
42,2/12/1943,0:00,3795.50
43,2/13/1943,0:00,3795.50
44,2/14/1943,0:00,3795.70
45,2/15/1943,0:00,3795.80
46,2/16/1943,0:00,3795.80
47,2/17/1943,0:00,3796.00
48,2/18/1943,0:00,3796.30
49,2/19/1943,0:00,3796.50
50,2/20/1943,0:00,3796.70
51,2/21/1943,0:00,3797.00
52,2/22/1943,0:00,3797.20
53,2/23/1943,0:00,3797.30
54,2/24/1943,0:00,3797.40
55,2/25/1943,0:00,3797.50
56,2/26/1943,0:00,3797.60
57,2/27/1943,0:00,3797.70
58,2/28/1943,0:00,3797.90
59,3/1/1943,0:00,3798.00
60,3/2/1943,0:00,3798.10
61,3/3/1943,0:00,3798.20
62,3/4/1943,0:00,3798.50
63,3/5/1943,0:00,3798.90
64,3/6/1943,0:00,3799.20
65,3/7/1943,0:00,3799.40
66,3/8/1943,0:00,3799.70
67,3/9/1943,0:00,3800.30
68,3/10/1943,0:00,3800.80
69,3/11/1943,0:00,3801.20
70,3/12/1943,0:00,3801.50
71,3/13/1943,0:00,3801.60
72,3/14/1943,0:00,3801.80
73,3/15/1943,0:00,3801.90
74,3/16/1943,0:00,3802.00
75,3/17/1943,0:00,3802.00
76,3/18/1943,0:00,3801.90
77,3/19/1943,0:00,3801.80
78,3/20/1943,0:00,3801.80
79,3/21/1943,0:00,3801.80
80,3/22/1943,0:00,3801.65
81,3/23/1943,0:00,3801.60
82,3/24/1943,0:00,3801.50
83,3/25/1943,0:00,3801.60
84,3/26/1943,0:00,3801.50
85,3/27/1943,0:00,3801.50
86,3/28/1943,0:00,3801.50
87,3/29/1943,0:00,3801.40
88,3/30/1943,0:00,3801.40
89,3/31/1943,0:00,3801.20
90,4/1/1943,0:00,3801.10
91,4/2/1943,0:00,3800.90
92,4/3/1943,0:00,3800.80
93,4/4/1943,0:00,3800.60
94,4/5/1943,0:00,3800.60
95,4/6/1943,0:00,3800.50
96,4/7/1943,0:00,3800.50
97,4/8/1943,0:00,3800.50
98,4/9/1943,0:00,3800.60
99,4/10/1943,0:00,3800.60
100,4/11/1943,0:00,3800.70
101,4/12/1943,0:00,3800.80
102,4/13/1943,0:00,3800.80
103,4/14/1943,0:00,3800.60
104,4/15/1943,0:00,3800.40
105,4/16/1943,0:00,3800.00
106,4/17/1943,0:00,3799.50
107,4/18/1943,0:00,3799.10
108,4/19/1943,0:00,3798.70
109,4/20/1943,0:00,3798.30
110,4/21/1943,0:00,3797.90
111,4/22/1943,0:00,3797.60
112,4/23/1943,0:00,3797.20
113,4/24/1943,0:00,3796.90
114,4/25/1943,0:00,3796.50
115,4/26/1943,0:00,3796.10
116,4/27/1943,0:00,3795.80
117,4/28/1943,0:00,3795.37
118,4/29/1943,0:00,3794.96
119,4/30/1943,0:00,3794.60
120,5/1/1943,0:00,3794.24
121,5/2/1943,0:00,3793.90
122,5/3/1943,0:00,3793.70
123,5/4/1943,0:00,3793.10
124,5/5/1943,0:00,3792.70
125,5/6/1943,0:00,3792.30
