timestep,date,time,stage_ft
1,10/1/1979,0:00,3790.68
2,10/2/1979,0:00,3790.64
3,10/3/1979,0:00,3790.60
4,10/4/1979,0:00,3790.60
5,10/5/1979,0:00,3790.61
6,10/6/1979,0:00,3790.61
7,10/7/1979,0:00,3790.62
8,10/8/1979,0:00,3790.63
9,10/9/1979,0:00,3790.57
10,10/10/1979,0:00,3790.56
11,10/11/1979,0:00,3790.57
12,10/12/1979,0:00,3790.58
13,10/13/1979,0:00,3790.54
14,10/14/1979,0:00,3790.53
15,10/15/1979,0:00,3790.53
16,10/16/1979,0:00,3790.50
17,10/17/1979,0:00,3790.46
18,10/18/1979,0:00,3790.45
19,10/19/1979,0:00,3790.46
20,10/20/1979,0:00,3790.48
21,10/21/1979,0:00,3790.47
22,10/22/1979,0:00,3790.54
23,10/23/1979,0:00,3790.60
24,10/24/1979,0:00,3790.72
25,10/25/1979,0:00,3790.82
26,10/26/1979,0:00,3790.94
27,10/27/1979,0:00,3791.00
28,10/28/1979,0:00,3791.14
29,10/29/1979,0:00,3791.19
30,10/30/1979,0:00,3791.24
31,10/31/1979,0:00,3791.46
32,11/1/1979,0:00,3791.53
33,11/2/1979,0:00,3791.67
34,11/3/1979,0:00,3791.86
35,11/4/1979,0:00,3791.99
36,11/5/1979,0:00,3792.12
37,11/6/1979,0:00,3792.21
38,11/7/1979,0:00,3792.31
39,11/8/1979,0:00,3792.40
40,11/9/1979,0:00,3792.47
41,11/10/1979,0:00,3792.60
42,11/11/1979,0:00,3792.70
43,11/12/1979,0:00,3792.82
44,11/13/1979,0:00,3792.92
45,11/14/1979,0:00,3793.00
46,11/15/1979,0:00,3793.09
47,11/16/1979,0:00,3793.21
48,11/17/1979,0:00,3793.30
49,11/18/1979,0:00,3793.38
50,11/19/1979,0:00,3793.41
51,11/20/1979,0:00,3793.55
52,11/21/1979,0:00,3793.75
53,11/22/1979,0:00,3793.82
54,11/23/1979,0:00,3793.83
55,11/24/1979,0:00,3793.91
56,11/25/1979,0:00,3794.01
57,11/26/1979,0:00,3794.07
58,11/27/1979,0:00,3794.17
59,11/28/1979,0:00,3794.26
60,11/29/1979,0:00,3794.38
61,11/30/1979,0:00,3794.44
62,12/1/1979,0:00,3794.50
63,12/2/1979,0:00,3794.58
64,12/3/1979,0:00,3794.66
65,12/4/1979,0:00,3794.74
66,12/5/1979,0:00,3794.88
67,12/6/1979,0:00,3794.94
68,12/7/1979,0:00,3795.01
69,12/8/1979,0:00,3795.06
70,12/9/1979,0:00,3795.14
71,12/10/1979,0:00,3795.19
72,12/11/1979,0:00,3795.26
73,12/12/1979,0:00,3795.30
74,12/13/1979,0:00,3795.36
75,12/14/1979,0:00,3795.40
76,12/15/1979,0:00,3795.46
77,12/16/1979,0:00,3795.49
78,12/17/1979,0:00,3795.57
79,12/18/1979,0:00,3795.68
80,12/19/1979,0:00,3795.79
81,12/20/1979,0:00,3795.95
82,12/21/1979,0:00,3796.14
83,12/22/1979,0:00,3796.32
84,12/23/1979,0:00,3796.53
85,12/24/1979,0:00,3796.73
86,12/25/1979,0:00,3796.92
87,12/26/1979,0:00,3797.10
88,12/27/1979,0:00,3797.26
89,12/28/1979,0:00,3797.50
90,12/29/1979,0:00,3797.74
91,12/30/1979,0:00,3797.88
92,12/31/1979,0:00,3797.96
93,1/1/1980,0:00,3798.01
94,1/2/1980,0:00,3798.08
95,1/3/1980,0:00,3798.25
96,1/4/1980,0:00,3798.43
97,1/5/1980,0:00,3798.58
98,1/6/1980,0:00,3798.74
99,1/7/1980,0:00,3798.93
100,1/8/1980,0:00,3799.06
101,1/9/1980,0:00,3799.16
102,1/10/1980,0:00,3799.25
103,1/11/1980,0:00,3799.35
104,1/12/1980,0:00,3799.47
105,1/13/1980,0:00,3799.64
106,1/14/1980,0:00,3799.83
107,1/15/1980,0:00,3800.05
108,1/16/1980,0:00,3800.29
109,1/17/1980,0:00,3800.52
110,1/18/1980,0:00,3800.74
111,1/19/1980,0:00,3800.99
112,1/20/1980,0:00,3801.17
113,1/21/1980,0:00,3801.34
114,1/22/1980,0:00,3801.49
115,1/23/1980,0:00,3801.63
116,1/24/1980,0:00,3801.76
117,1/25/1980,0:00,3801.89
118,1/26/1980,0:00,3802.04
119,1/27/1980,0:00,3802.13
120,1/28/1980,0:00,3802.16
121,1/29/1980,0:00,3802.22
122,1/30/1980,0:00,3802.28
123,1/31/1980,0:00,3802.36
124,2/1/1980,0:00,3802.44
125,2/2/1980,0:00,3802.54
126,2/3/1980,0:00,3802.65
127,2/4/1980,0:00,3802.78
128,2/5/1980,0:00,3802.96
129,2/6/1980,0:00,3803.10
130,2/7/1980,0:00,3803.23
131,2/8/1980,0:00,3803.36
132,2/9/1980,0:00,3803.45
133,2/10/1980,0:00,3803.54
134,2/11/1980,0:00,3803.64
135,2/12/1980,0:00,3803.76
136,2/13/1980,0:00,3803.86
137,2/14/1980,0:00,3803.96
138,2/15/1980,0:00,3804.05
139,2/16/1980,0:00,3804.16
140,2/17/1980,0:00,3804.24
141,2/18/1980,0:00,3804.32
142,2/19/1980,0:00,3804.41
143,2/20/1980,0:00,3804.50
144,2/21/1980,0:00,3804.63
145,2/22/1980,0:00,3804.72
146,2/23/1980,0:00,3804.81
147,2/24/1980,0:00,3804.93
148,2/25/1980,0:00,3805.02
149,2/26/1980,0:00,3805.10
150,2/27/1980,0:00,3805.18
151,2/28/1980,0:00,3805.29
152,2/29/1980,0:00,3805.36
153,3/1/1980,0:00,3805.50
154,3/2/1980,0:00,3805.57
155,3/3/1980,0:00,3805.67
156,3/4/1980,0:00,3805.75
157,3/5/1980,0:00,3805.84
158,3/6/1980,0:00,3805.92
159,3/7/1980,0:00,3806.02
160,3/8/1980,0:00,3806.11
161,3/9/1980,0:00,3806.19
162,3/10/1980,0:00,3806.28
163,3/11/1980,0:00,3806.33
164,3/12/1980,0:00,3806.42
165,3/13/1980,0:00,3806.51
166,3/14/1980,0:00,3806.55
167,3/15/1980,0:00,3806.62
168,3/16/1980,0:00,3806.70
169,3/17/1980,0:00,3806.79
170,3/18/1980,0:00,3806.84
171,3/19/1980,0:00,3806.88
172,3/20/1980,0:00,3806.94
173,3/21/1980,0:00,3806.96
