aep,ci_95,ci_5,posterior_predictive,posterior_mode
1.00E-06,6311066.128,772770.1134,3146263.127,2540637.647
2.00E-06,4492836.173,629905.8678,2284549.667,1910347.37
5.00E-06,2860344.661,479952.1152,1498256.525,1305324.845
1.00E-05,2023452.04,387634.9544,1089633.217,975392.1194
2.00E-05,1429747.32,313505.6366,792677.1156,726562.4571
5.00E-05,900982.4318,232158.9274,520430.6521,489589.7369
0.0001,630620.3611,184710.3635,378309.379,361511.3879
0.0002,442063.602,145517.0517,274670.8588,265718.6888
0.0005,274186.0929,105218.9591,179337.1693,175446.1959
0.001,189907.7008,81431.62116,129434.5271,127241.8094
0.002,130969.2524,62437.52054,92992.9425,91599.64879
0.005,79487.79035,42945.76875,59460.81618,58502.54769
0.01,54119.38651,31814.85252,41935.38728,41130.86438
0.02,36516.94058,22963.54552,29180.12657,28497.72452
0.05,21271.98195,14275.78516,17525.67567,17015.80763
0.1,13811.15957,9551.080773,11502.72673,11136.37144
0.2,8507.021357,6047.139536,7174.0036,6951.229201
0.3,6168.407183,4451.556947,5232.312608,5088.091736
0.5,3780.805541,2809.462271,3247.540591,3191.5342
0.7,2430.30964,1874.336882,2129.803548,2123.626708
0.8,1920.343162,1495.638422,1693.809432,1705.757931
0.9,1444.031235,1100.242314,1271.404634,1300.18227
0.95,1186.408221,854.403465,1027.45761,1067.416031
0.98,992.0417724,646.8866645,823.3154866,878.6429282
0.99,902.488668,540.5667121,712.8794606,783.5323637
