mean_log,sd_log,skew_log,log_likelihood
3.573019461,0.375449595,0.543732273,-1093.039758
3.56028701,0.359914953,0.751611283,-1092.829145
3.572810434,0.367270633,0.781325997,-1092.88174
3.508481815,0.358617308,0.727047691,-1093.707044
3.559232886,0.389073713,0.407820121,-1093.873619
3.514285071,0.390704894,0.747321775,-1093.998825
3.547519585,0.382104117,0.893130527,-1092.985508
3.609638925,0.400487105,0.287723883,-1095.293433
3.566796012,0.355654288,0.75262304,-1093.25279
3.537658384,0.386227718,1.063172689,-1094.796796
3.561155514,0.375166824,0.926733085,-1093.286135
3.603106239,0.392349495,0.629467328,-1093.584808
3.556919409,0.351583253,0.773203741,-1093.335399
3.543861106,0.387279601,0.545103238,-1093.301351
3.556405513,0.371594957,0.955685282,-1093.491428
3.56290316,0.382905666,0.51507342,-1093.135643
3.513955257,0.353251524,0.898810902,-1093.447077
3.552865715,0.367537216,1.01235862,-1094.374352
3.527333777,0.349620247,0.821840123,-1093.319428
3.518090676,0.343197446,0.708201787,-1094.213776
3.528141364,0.360306885,0.87832359,-1092.913546
3.492899344,0.353873478,0.822845219,-1094.318021
3.51321244,0.365883175,1.039638356,-1094.010505
3.567315328,0.371593507,0.886084347,-1093.169004
3.618636669,0.375630512,0.675339209,-1094.557383
3.551289788,0.41319449,0.705090612,-1094.573354
3.547088187,0.369863255,0.872252862,-1092.686816
3.505941361,0.369682344,1.144795617,-1095.581646
3.542033447,0.387503906,0.8928702,-1093.284506
3.525400806,0.34089713,0.817449373,-1094.04483
3.553877067,0.398135767,0.698074404,-1093.28788
3.5375858,0.376719618,0.972138235,-1093.354299
3.582986987,0.37339314,0.679677559,-1092.880587
3.542208231,0.344775533,0.609576966,-1094.18972
3.561456004,0.341288837,0.71438464,-1094.457159
3.578675686,0.359304424,0.677520527,-1093.337156
3.555234309,0.366826429,0.826472655,-1092.638658
3.575561768,0.375891133,0.770052004,-1092.753732
3.558982912,0.379262036,0.771468039,-1092.527496
3.573885439,0.427470768,0.539286635,-1095.412729
3.517723305,0.396547031,0.829251783,-1094.394994
3.590507267,0.405033529,0.4574391,-1094.04195
3.513849128,0.367742405,0.671263735,-1093.568038
3.520796171,0.350696231,0.652941561,-1093.91974
3.523795331,0.391366665,0.719720284,-1093.637242
3.517807013,0.382643504,0.704802153,-1093.50326
3.594519117,0.413606907,0.71025279,-1094.766206
3.554366257,0.356567327,0.669797657,-1093.043435
3.546456286,0.374454995,0.926331066,-1092.998632
3.560246879,0.361950802,0.846176232,-1093.010835
3.557896607,0.381392282,0.701506977,-1092.551682
3.498059487,0.344594679,0.944350873,-1094.47895
3.51263447,0.362550507,1.073858761,-1094.497022
3.525057688,0.388480554,0.989964331,-1094.278273
3.557003748,0.38606052,0.938979438,-1093.537667
3.544988264,0.369249442,0.611302032,-1092.897015
3.512697968,0.386235685,0.756405841,-1093.827038
3.536340015,0.335615229,0.421899558,-1097.055702
3.544178395,0.36878279,0.843291388,-1092.584664
3.540375497,0.348203467,0.683500572,-1093.551256
3.540768237,0.392557941,0.554475754,-1093.484095
3.526383894,0.370709781,0.948586002,-1093.152244
3.545467519,0.341952331,0.830054299,-1094.214588
3.493354547,0.365518122,1.011439205,-1094.424235
3.547494295,0.360347011,0.679959905,-1092.831621
3.617627434,0.4157086,0.620488062,-1095.33104
3.532319827,0.392281915,0.592738306,-1093.589873
3.550911887,0.380296679,0.722561657,-1092.55116
