time_hr,inflow_cfs
0,15
1,15
2,15
3,15
4,15
5,15
6,15
7,15
8,15
9,15
10,15
11,15
12,15
13,15
14,15
15,15
16,15
17,15
18,15
19,15
20,15
21,15
22,15
23,15
24,24
25,25
26,25
27,25
28,25
29,25
30,25
31,25
32,25
33,25
34,25
35,25
36,25
37,25
38,66
39,4527
40,18683
41,24833
42,46745
43,30236
44,14383
45,8700
46,6033
47,4250
48,3400
49,3367
50,5467
51,6192
52,2633
53,1292
54,1083
55,917
56,683
57,600
58,600
59,600
60,417
61,400
62,400
63,400
64,400
65,400
66,308
67,300
68,300
69,300
70,300
71,300
72,208
73,200
74,200
75,200
76,200
77,200
78,200
79,200
80,200
81,200
82,200
83,200
84,200
85,200
86,200
87,200
88,200
89,200
90,200
91,200
92,200
93,200
94,200
95,200
96,200
97,200
98,200
99,200
100,200
101,200
102,200
103,200
104,200
105,200
106,200
107,200
108,200
109,200
110,200
111,200
112,200
113,200
114,200
115,200
116,200
117,200
118,200
119,200
120,108
121,100
122,100
123,100
124,100
125,100
126,100
127,100
128,100
129,100
130,100
131,100
132,100
133,100
134,100
135,100
136,100
137,100
138,100
139,100
140,100
141,100
142,100
143,100
144,100
145,100
146,100
147,100
148,100
149,100
150,100
151,100
152,100
153,100
154,100
155,100
156,100
157,100
158,100
159,100
160,100
161,100
162,100
163,100
164,100
165,100
166,100
167,100
168,100
169,100
170,100
171,100
172,100
173,100
174,100
175,100
176,100
177,100
178,100
179,100
180,100
181,100
182,100
183,100
184,100
185,100
186,100
187,100
188,100
189,100
190,100
191,100
192,50
193,50
194,50
195,50
196,50
197,50
198,50
199,50
200,50
201,50
202,50
203,50
204,50
205,50
206,25
207,25
208,25
209,25
210,25
211,25
212,25
213,25
214,25
215,25
216,25
217,25
218,25
219,15
220,15
221,15
222,15
223,15
224,15
225,15
226,15
227,15
228,15
229,15
230,15
231,15
232,15
233,15
234,15
235,15
236,15
237,15
238,15
239,15
240,15
241,15
242,15
243,15
244,15
245,15
246,15
247,15
248,15
249,15
250,15
251,15
252,15
253,15
254,15
255,15
256,15
257,15
258,15
259,15
260,15
261,15
262,15
263,15
264,15
265,15
266,15
267,15
268,15
269,15
270,15
271,15
272,15
273,15
274,15
275,15
276,15
277,15
278,15
279,15
280,15
281,15
282,15
283,15
284,15
285,15
286,15
287,15
288,15
289,15
290,15
291,15
292,15
293,15
294,15
295,15
296,15
297,15
298,15
299,15
300,15
301,15
302,15
303,15
304,15
305,15
306,15
307,15
308,15
309,15
310,15
311,15
312,15
313,15
314,15
315,15
316,15
317,15
318,15
319,15
320,15
321,15
322,15
323,15
324,15
325,15
326,15
327,15
328,15
329,15
330,15
331,15
332,15
333,15
334,15
335,15
336,15
337,15
338,15
339,15
340,15
341,15
342,15
343,15
344,15
345,15
346,15
347,15
348,15
349,15
350,15
351,15
352,15
353,15
354,15
355,15
356,15
357,15
358,15
359,15
360,15
361,15
362,15
363,15
364,15
365,15
366,15
367,15
368,15
369,15
370,15
371,15
372,15
373,15
374,15
375,15
376,15
377,15
378,15
379,15
380,15
381,15
382,15
383,15
384,15
385,15
386,15
387,15
388,15
389,15
390,15
391,15
392,15
393,15
394,15
395,15
396,15
397,15
398,15
399,15
400,15
401,15
402,15
403,15
404,15
405,15
406,15
407,15
408,15
409,15
410,15
411,15
412,15
413,15
414,15
415,15
416,15
417,15
418,15
419,15
420,15
421,15
422,15
423,15
424,15
425,15
426,15
427,15
428,15
429,15
430,15
431,15
432,15
433,15
434,15
435,15
436,15
437,15
438,15
439,15
440,15
441,15
442,15
443,15
444,15
445,15
446,15
447,15
448,15
449,15
450,15
451,15
452,15
453,15
454,15
455,15
456,15
