time_hr,inflow_cfs,elevation_ft,storage_acft,outflow_cfs
0,15,5565,28347,750
1,15,5564.9518,28286.4221,745.9841
2,15,5564.9039,28226.1753,741.9902
3,15,5564.8562,28166.2576,738.0181
4,15,5564.8088,28106.6673,734.0677
5,15,5564.7617,28047.4025,730.1389
6,15,5564.7148,27988.4616,726.2315
7,15,5564.6681,27929.8427,722.3455
8,15,5564.6218,27871.5441,718.4807
9,15,5564.5756,27813.564,714.6371
10,15,5564.5298,27755.9008,710.8144
11,15,5564.4841,27698.5525,707.0126
12,15,5564.4388,27641.5176,703.2316
13,15,5564.3936,27584.7944,699.4713
14,15,5564.3488,27528.381,695.7315
15,15,5564.3041,27472.2759,692.0121
16,15,5564.2597,27416.4774,688.3131
17,15,5564.2156,27360.9837,684.6343
18,15,5564.1717,27305.7932,680.9755
19,15,5564.128,27250.9043,677.3368
20,15,5564.0846,27196.3152,673.7179
21,15,5564.0414,27142.0244,670.1188
22,15,5563.9984,27088.0304,666.5361
23,15,5563.9546,27034.3353,662.8861
24,24,5563.9113,26981.3118,659.2817
25,25,5563.8687,26928.9975,655.7255
26,25,5563.8263,26877.0174,652.192
27,25,5563.7841,26825.3286,648.6784
28,25,5563.7422,26773.9293,645.1844
29,25,5563.7005,26722.8179,641.71
30,25,5563.659,26671.9929,638.2551
31,25,5563.6178,26621.4527,634.8195
32,25,5563.5768,26571.1955,631.4031
33,25,5563.5361,26521.22,628.0059
34,25,5563.4955,26471.5243,624.6278
35,25,5563.4552,26422.1071,621.2685
36,25,5563.4151,26372.9668,617.9281
37,25,5563.3753,26324.1017,614.6064
38,66,5563.337,26277.1999,611.4182
39,4527,5563.4503,26416.0727,620.8583
40,18683,5564.184,27321.3263,682.0053
41,24833,5565.5515,29058.4353,795.9565
42,46745,5567.722,31942.948,976.836
43,30236,5569.9134,35032.4106,1239.1699
44,14383,5571.0916,36767.6743,1386.45
45,8700,5571.6481,37604.0602,1456.0097
46,6033,5571.972,38090.8575,1496.4951
47,4250,5572.168,38391.0849,1521.003
48,3400,5572.2916,38580.8597,1536.4469
49,3367,5572.3906,38732.9971,1548.8279
50,5467,5572.5444,38969.2417,1568.0535
51,6192,5572.7729,39320.247,1596.6184
52,2633,5572.9239,39552.1845,1615.4935
53,1292,5572.9426,39580.7666,1617.8195
54,1083,5572.9195,39545.3222,1614.9351
55,917,5572.8865,39494.6714,1610.8131
56,683,5572.843,39427.8867,1605.3781
57,600,5572.7913,39348.4943,1598.9172
58,600,5572.7378,39266.2158,1592.2213
59,600,5572.6846,39184.4889,1585.5704
60,417,5572.6268,39095.7732,1578.3507
61,400,5572.5641,38999.4153,1570.5091
62,400,5572.5013,38903.0033,1562.663
63,400,5572.439,38807.2374,1554.8696
64,400,5572.377,38712.1136,1547.1284
65,400,5572.3155,38617.6273,1539.4391
66,308,5572.2519,38519.9855,1531.493
67,300,5572.1861,38418.8798,1523.265
68,300,5572.1205,38318.1223,1515.0653
69,300,5572.0554,38218.0403,1506.9206
70,300,5571.9904,38118.6301,1498.8049
71,300,5571.9247,38019.8947,1490.5934
72,208,5571.857,37918.0469,1482.123
73,200,5571.7869,37812.7787,1473.3682
74,200,5571.7172,37707.902,1464.6459
75,200,5571.6479,37603.7438,1455.9834
76,200,5571.579,37500.299,1447.3802
77,200,5571.5107,37397.5628,1438.8359
78,200,5571.4428,37295.5304,1430.3502
79,200,5571.3754,37194.1968,1421.9226
