elev_ft,stor_acft,outflow_cfs
5524,0,0
5525,17,0
5526,122,0
5527,258,0
5528,426,0
5529,626,0
5530,858,0
5531,1153,0
5532,1500,0
5533,1892,0
5534,2326,0
5535,2796,0
5536,3298,0
5537,3827,0
5538,4378,0
5539,4946,0
5540,5526,0
5541,6121,0
5542,6737,0
5543,7375,0
5544,8036,0
5545,8721,0
5546,9433,0
5547,10171,0
5548,10937,0
5549,11732,0
5550,12558,0
5551,13412,0
5552,14293,25
5553,15200,50
5554,16134,75
5555,17097,100
5556,18089,137.5
5557,19110,175
5558,20161,212.5
5559,21243,250
5560,22357,333.33
5561,23499,416.67
5562,24668,500
5563,25864,583.33
5564,27090,666.67
5565,28347,750
5566,29637,833.33
5567,30961,916.67
5568,32321,1000
5569,33719,1125
5570,35157,1250
5571,36630,1375
5572,38133,1500
5573,39669,1625
5574,41240,1750
5575,42848,1875
5576,44495,2000
5577,46183,2166.67
5578,47915,2333.33
5579,49692,2500
5580,51517,2625
5581,53387,2750
5582,55298,2875
5583,57252,3000
5584,59247,3125
5585,61286,3250
5586,63368,3375
5587,65495,3500
5588,67666,3625
5589,69882,3750
5590,72144,3875
5591,74452,4000
5592,76804,4125
5593,79202,4250
5594,81645,4375
5595,84131,4500
5596,86661,4666.67
5597,89235,4833.33
5598,91852,5000
5599,94512,5000
5600,97214,5000
5601,99958,5000
5602,102745,5000
5603,105575,5000
5604,108447,5000
5605,111364,5000
5606,114324,5000
5607,117328,5000
5608,120376,5000
5609,123470,5000
5610,126608,5000
5611,129789,5000
5612,133010,5040
5613,136274,5120
5614,139581,5230
5615,142934,5380
5616,146334,5570
5617,149782,5800
5618,153281,6070
5619,156831,6380
5620,160435,6730
5621,164087,7120
5622,167784,7560
5623,171527,8030
5624,175319,8540
5625,179162,9100
5626,183059,9700
5627,187011,10340
5628,191022,11020
5629,195093,11740
5630,199227,12510
5631,203422,13320
5632,207674,14170
5633,211984,15070
5634,216350,16010
5635,220775,17000
5636,225256,18030
5637,229796,19110
5638,234392,20230
5639,239046,21390
5640,243757,22600
5641,253640,23860
5642,258563,25160
5643,263586,26510
5644,268640,27910
5645,273794,48470.66
5646,278978,114103.73
5647,284265,204858.88
5648,289585,314985.1
5649,294905,441494.01
5650,300225,582492.63
5651,305545,736596.44
5652,310865,902778.21
5653,316185,1080204.74
5654,321505,1268221.95
5655,326825,1466254.6
5656,332145,1673819.83
5657,337465,1890498.87
5658,342785,2115923.97
5659,348105,2349758.87
5660,353425,2591731.47
5661,358745,2841578.31
5662,364065,3099040.14
5663,369385,3363908.42
5664,374705,3635992.51
5665,380025,3915097.37
5666,385345,4201051.57
5667,390665,4493705.78
5668,395985,4792891.36
5669,401305,5098499.22
5670,406625,5410368.86
