distribution,bin,lower,upper,weight
uniform,1,0.99,0.940500001,0.0595
uniform,2,0.940500001,0.891000001,0.049499999
uniform,3,0.891000001,0.841500002,0.049499999
uniform,4,0.841500002,0.792000002,0.049499999
uniform,5,0.792000002,0.742500003,0.049499999
uniform,6,0.742500003,0.693000003,0.049499999
uniform,7,0.693000003,0.643500004,0.049499999
uniform,8,0.643500004,0.594000004,0.049499999
uniform,9,0.594000004,0.544500005,0.049499999
uniform,10,0.544500005,0.495000005,0.0495
uniform,11,0.495000005,0.445500006,0.0495
uniform,12,0.445500006,0.396000006,0.0495
uniform,13,0.396000006,0.346500007,0.0495
uniform,14,0.346500007,0.297000007,0.0495
uniform,15,0.297000007,0.247500008,0.0495
uniform,16,0.247500008,0.198000008,0.0495
uniform,17,0.198000008,0.148500009,0.0495
uniform,18,0.148500009,0.099000009,0.0495
uniform,19,0.099000009,0.04950001,0.0495
uniform,20,0.04950001,1.00E-08,0.04950001
normal,1,-2.326347874,-1.929430418,0.026838725
normal,2,-1.929430418,-1.532512962,0.035859225
normal,3,-1.532512962,-1.135595506,0.065364994
normal,4,-1.135595506,-0.738678051,0.101988313
normal,5,-0.738678051,-0.341760595,0.136214275
normal,6,-0.341760595,0.055156861,0.155727718
normal,7,0.055156861,0.452074317,0.152399026
normal,8,0.452074317,0.848991773,0.127664787
normal,9,0.848991773,1.245909229,0.091544074
normal,10,1.245909229,1.642826685,0.056189462
normal,11,1.642826685,2.03974414,0.029521491
normal,12,2.03974414,2.436661596,0.013276136
normal,13,2.436661596,2.833579052,0.005110276
normal,14,2.833579052,3.230496508,0.001683619
normal,15,3.230496508,3.627413964,0.00047474
normal,16,3.627413964,4.02433142,0.000114568
normal,17,4.02433142,4.421248876,2.37E-05
normal,18,4.421248876,4.818166332,4.18E-06
normal,19,4.818166332,5.215083787,6.33E-07
normal,20,5.215083787,5.612001243,9.19E-08
ev1,1,-1.527179626,-0.529786608,0.182944983
ev1,2,-0.529786608,0.46760641,0.351514123
ev1,3,0.46760641,1.464999428,0.259218352
ev1,4,1.464999428,2.462392446,0.124622861
ev1,5,2.462392446,3.459785464,0.050752165
ev1,6,3.459785464,4.457178482,0.019419447
ev1,7,4.457178482,5.4545715,0.007260493
ev1,8,5.4545715,6.451964518,0.0026914
ev1,9,6.451964518,7.449357536,0.000994531
ev1,10,7.449357536,8.446750554,0.000367072
ev1,11,8.446750554,9.444143572,0.000135425
ev1,12,9.444143572,10.44153659,5.00E-05
ev1,13,10.44153659,11.43892961,1.84E-05
ev1,14,11.43892961,12.43632263,6.80E-06
ev1,15,12.43632263,13.43371564,2.51E-06
ev1,16,13.43371564,14.43110866,9.25E-07
ev1,17,14.43110866,15.42850168,3.41E-07
ev1,18,15.42850168,16.4258947,1.26E-07
ev1,19,16.4258947,17.42328772,4.64E-08
ev1,20,17.42328772,18.42068073,2.71E-08
